"","Year","MDACoverageAttempted","MDANumRounds","MDADrugs","MDADrugEfficacy","MDAYearsBetweenRounds","MDAStartYear","ProbGender","RatioAll","Ratio6_7","Ratio15AndOver","Prev_AntigenAll","Prev_Antigen6_7","Prev_Antigen15AndOver","AgEradicated","AgPrevUnder001pc","AgPrevUnder01pc","AgPrevUnder1pc","PrevalenceAll","Prevalence6_7","Eradicated","PrevalenceFagalii","PrevalenceIliili","PrevUnder001pc","PrevUnder01pc","PrevUnder1pc"
"48",2010,"0.55",5,"DA2+","Irvine",1,2018,"0.002-0.00041",6.43225191784292,NA,6.45425158284349,0.02305659,0,0.0315601033333333,0,0,0,0,0.00359063516666667,0,0,0.0328609936666667,0.00364110608333333,0,0,1
"49",2010,"0.55",5,"IDA5+","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00358170374100719,0,0,0.0339032362589928,0.00348115861870504,0,0,1
"50",2010,"0.55",5,"IDA5+","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00351743183673469,0,0,0.0323886526530612,0.00303407687755102,0,0,1
"51",2010,"0.55",5,"IDA5+/DA2-4","Default",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00356363568627451,0,0,0.0331031085294118,0.00347663323529412,0,0,1
"52",2010,"0.55",5,"IDA5+/DA2-4","Default",1,2018,"0.0012-0.00032",6.48441223348734,NA,6.47413878579638,0.02303758,0,0.0316083490909091,0,0,0,0,0.00357321454545455,0,0,0.0338240665454545,0.00353108527272727,0,0,1
"53",2010,"0.55",5,"IDA5+/DA2-4","Default",1,2018,"0.0016-0.00035",6.54123013727034,NA,6.53487392800288,0.0230660660606061,0,0.0316667545454545,0,0,0,0,0.00352806006060606,0,0,0.0335664252727273,0.00340683834545455,0,0,1
"54",2010,"0.55",5,"IDA5+/DA2-4","Default",1,2018,"0.002-0.00041",6.55061625287201,NA,6.49428474892336,0.0229889635714286,0,0.03155222,0,0,0,0,0.00354731657142857,0,0,0.0349045626428571,0.00327967828571429,0,0,1
"55",2010,"0.55",5,"IDA5+/DA2-4","Irvine",1,2018,"0-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035791462745098,0,0,0.0333412707843137,0.00346435909803922,0,0,1
"56",2010,"0.55",5,"IDA5+/DA2-4","Irvine",1,2018,"0.002-0.00041",6.44616223995515,NA,6.44812376636068,0.0230279241666667,0,0.0316334608333333,0,0,0,0,0.003569173,0,0,0.03400809475,0.00329160166666667,0,0,1
"57",2010,"0.55",6,"IDA5+/DA2-4","Default",1,2018,"0.002-0.00041",6.49079335842641,NA,6.48867415509994,0.0231459864285714,0,0.0317473171428571,0,0,0,0,0.00356334721428571,0,0,0.0335453985714286,0.003458529,0,0,1
"58",2010,"0.55",6,"IDA5+/DA2-4","Irvine",1,2018,"0.002-0.00041",6.45849025579935,NA,6.43060952690389,0.0230178675,0,0.0315509928125,0,0,0,0,0.00357001575,0,0,0.0345141646875,0.00340766841875,0,0,1
